Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,AT concentration,Temperature,pH,Qm
125,0.263,1,444.44,-1.37,7.7,1690,2,15.942,25,,2.03691
125,0.263,1,444.44,-1.37,7.7,1690,2,24.9211,25,,2.55687
125,0.263,1,444.44,-1.37,7.7,1690,2,33.7235,25,,3.13488
125,0.263,1,444.44,-1.37,7.7,1690,2,43.6714,25,,3.20217
125,0.263,1,444.44,-1.37,7.7,1690,2,0.369868,25,,0.323588
125,0.263,1,444.44,-1.37,7.7,1690,2,0.730258,25,,0.613528
125,0.263,1,444.44,-1.37,7.7,1690,2,1.26847,25,,0.915027
125,0.263,1,444.44,-1.37,7.7,1690,2,2.16564,25,,1.42526
125,0.263,1,444.44,-1.37,7.7,1690,2,5.73079,25,,2.14369
125,0.263,1,444.44,-1.37,7.7,1690,2,9.56011,25,,2.73445
125,0.263,1,444.44,-1.37,7.7,1690,2,12.9493,25,,3.54573
125,0.263,1,444.44,-1.37,7.7,1690,2,22.8968,25,,3.58982
125,0.263,1,444.44,-1.37,7.7,1690,2,32.6671,25,,3.65716
125,0.263,1,444.44,-1.37,7.7,1690,2,42.8794,25,,3.60839
1,,0,361.368,-0.39,7.9,,0.5,10,,,1.48775
74,,0,361.368,-0.39,7.9,,0.5,10,,,1.06604
125,,0,361.368,-0.39,7.9,,0.5,10,,,0.997827
74,,0,361.368,-0.39,7.9,,0.5,10,,,1.09455
